,rw,sent,区,单元号,小区名,市,建筑物名称,户室号,村居委会,栋号,楼号,楼层,省,社区,组团名称,自然村组,街路巷名,门牌号
251,0,-贵乌中路17号1栋2-5-3--,,,,,,17号,,1栋,,,,,,,贵乌中路,2
252,0,-云谭北路中铁阅山湖项目A26栋3-4-1--,,,中铁阅山湖,,,,,A26栋,,,,,,,,3
253,0,-长岭北路8号美的林城时代A46-1-1902--,,,,,,1902,,,,,,,,,长岭北路,8号
254,0,-贵阳云岩区北京东路未来方舟G1-5-1-2704号--,云岩区,,未来方舟,贵阳,,2704号,,,,,,,,,北京东路,5
255,0,-紫薇园C栋2-7-2--,,,,,,,,C栋,,,,,紫薇园,,,2
256,0,-一鸣宽城国际小区11栋1-28-3号--,,,一鸣宽城国际,,,3号,,11栋,,,,,,,,1
257,0,-悦景新城7栋1单元7-3--,,1单元,悦景新城,,,,,7栋,,,,,,,,7
258,0,-宝山北路76号26栋1-401号--,,,,,,401号,,26栋,,,,,,,宝山北路,76号
259,0,-中天会展城B5-10-14-1--,,,中天会展城,,,,,,,,,,,,,10
260,0,-红岩路66号20栋1-6-2--,,,,,,66号,,20栋,,,,,,,红岩路,1
261,0,-新寨路37号3栋-1-6-3号--,,,,,,3号,,3栋,,,,,,,新寨路,37号
262,0,-三桥松坡路康馨园2-1-13-1--,,,康馨园,,,,,,,,,,,,松坡路,2
263,0,-花果园L1区2栋-1-3903--,,,,,,3903,,2栋,,,,,1区,,花果园,1
264,0,-花果园S1区11栋1-4402--,,,,,,4402,,11栋,,,,,1区,,花果园,1
265,0,-宝山北路127号4-901--,,,,,,901,,,,,,,,,宝山北路,127号
266,0,-改茅安置房B10-1-2-1--,,,,,,,,,,,,,,,,10
267,0,-万科城C8栋0507--,,,万科城,,,,,C8栋,,,,,,,,0507
268,0,-沙河花园9-3-8-1--,,,沙河花园,,,,,,,,,,,,,9
269,0,-东山扶风路-扶风花园-1-3-2-1--,,,扶风花园,,,,,,,,,,,,扶风路,1
270,0,-宝山北路180号-吟峰苑-2号楼1-15-3号--,,,吟峰苑,,,3号,,2号楼,,,,,,,宝山北路,180号
271,0,-宝山南路29号2-15--,,,,,,29号,,,,,,,,,宝山南路,2
272,0,-许家巷5号附8号--,,,,,,附8号,,,,,,,,,许家巷,5号
273,0,-花果园项目V区10-2-3805--,,,,,,3805,,,,,,,,,花果园,10
274,0,-环城北路133号--,,,,,,,,,,,,,,,环城北路,133号
275,0,-黔灵山路146号观山小区21-18-2--,,,观山小区,,,146号,,,,,,,,,黔灵山路,21
276,0,-檀溪谷熙苑7-2-3-2--,,,檀溪谷,,,,,,,,,,熙苑,,,7
277,0,-花果园A北区6栋2004室--,,,花果园A北区,,,2004室,,6栋,,,,,,,,
278,0,-沙冲路87号悠然居5B-2-3-2--,,,悠然居,,,87号,,,,,,,,,沙冲路,2
279,0,-花溪大学城C3-20-6号--,,,,,,6号,,,,,,,,,,20
280,0,-三桥北路84号三桥小学教师宿舍2-303号--,,,,,,303号,,,,,,,,,三桥北路,84号
281,0,-荷塘月色D栋1单元2---3--,,1单元,荷塘月色,,,,,D栋,,,,,,,,2
282,0,-观山湖区中天会展城A9组团3栋9层--,观山湖区,,中天会展城,,,,,3栋,,9层,,,A9组团,,,
283,0,-三七厂生活区622栋2单元22室--,,2单元,,,,22室,,,,,,,,,,622
284,0,-花果园U区4-1-1008--,,,,,,1008,,,,,,,,,花果园,4
285,0,-市南路265号--,,,,,,,,,,,,,,,市南路,265号
286,0,-大理石路83号众拓馨苑小a栋10-1-3号--,,,众拓馨苑,,,3号,,,,,,,,,大理石路,83号
287,0,-宅吉路7号4单元-12号--,,4单元,,,,12号,,,,,,,,,宅吉路,7号
288,0,-青山小区41栋2-5-2-5--,,,青山小区,,,,,41栋,,,,,,,,2
289,0,-中坝路保障房C6-1-1--,,,,,,,,,,,,,,,中坝路,1
290,0,-见龙洞路31号2-2-501--,,,,,,501,,,,,,,,,见龙洞路,31号
291,0,-甘荫塘上坝路5-2-6-6--,,,,,,,,,,,,,,,上坝路,5
292,0,-贵阳市宅吉路66号A-1-1-2--,,,,贵阳市,,66号,,,,,,,,,宅吉路,1
293,0,-陕西路四川巷8栋3-8--,,,,,,,,8栋,,,,,,,陕西路,3
294,0,-市南路110号9-1-3-6--,,,,,,110号,,,,,,,,,市南路,9
295,0,-金阳南路7号C3-2-2-1-1--,,,,,,7号,,,,,,,,,金阳南路,2
296,0,-贵乌南路阳光小区B栋-2-2-3号--,,,阳光小区,,,3号,,B栋,,,,,,,贵乌南路,2
297,0,-花果园一期21栋1单元2701--,,1单元,,,,,,21栋,,,,,一期,,花果园,2701
298,0,-东山小区6-1-5-9--,,,东山小区,,,,,,,,,,,,,6
299,0,-观山湖区甲秀北路235号7-A03-1-24-3--,观山湖区,,,,,235号,,,,,,,,,甲秀北路,03
300,0,-百花组团26栋1-7-2--,,,,,,,,26栋,,,,,百花组团,,,1
301,0,-花果园K区1栋1-3508--,,,花果园K区,,,3508,,1栋,,,,,,,,1
302,0,-山水黔城一组团7栋-1-1706号--,,,山水黔城,,,1706号,,7栋,,,,,一组团,,,1
303,0,-未来方舟H2组团2栋1-12-3--,,,未来方舟,,,,,2栋,,,,,H2组团,,,1
304,0,-小河金竹片区鑫中路安置楼左边1-6号--,,,安置楼,,,6号,,,,,,,,,鑫中路,1
305,0,-市西路269号4单元3-9--,,4单元,,,,269号,,,,,,,,,市西路,3
306,0,-甲秀北路235号7-S11-1-负1-5--,,,,,,235号,,,,,,,,,甲秀北路,11
307,0,-花果园项目v区16栋2单元2901--,,2单元,,,,,,16栋,,,,,,,花果园,2901
308,0,-富源路棚户区B区4-12-9--,,,,,,,,,,,,,B区,,富源路,4
309,0,-贵钢宿舍5-5-6-75--,,,贵钢宿舍,,,,,,,,,,,,,5
310,0,-延安西路289号1-3-8--,,,,,,289号,,,,,,,,,延安西路,1
311,0,-保利凤凰湾A1-1-2703--,,,凤凰湾,,,2703,,,,,,,,,,1
312,0,-上河城12-4-310号--,,,上河城,,,310号,,,,,,,,,,12
313,0,-红岩路66号14栋1-3-4--,,,,,,66号,,14栋,,,,,,,红岩路,1
314,0,-机械厂36栋-1-4-1--,,,,,,,,36栋,,,,,,,,1
315,0,-朝阳洞路2号新2栋-3--,,,,,,2号,,2栋,,,,,,,朝阳洞路,3
316,0,-漓江花园A2栋-2-2-5号--,,,漓江花园,,,5号,,A2栋,,,,,,,,2
317,0,-山水黔城11组团4栋2-802--,,,山水黔城,,,802,,4栋,,,,,11组团,,,2
318,0,-花果园R2区5栋-3-3206--,,,,,,3206,,5栋,,,,,2区,,花果园,3
319,0,-美的林城时代A42-1-3-1--,,,,,,,,,,,,,,,,42
320,0,-富水南路会文巷6号附1-2--,,,,,,6号,,,,,,,,,富水南路,1
321,0,-盐务街170号23栋2-6-12--,,,,,,170号,,23栋,,,,,,,盐务街,2
322,0,-南明食品工业园G11-1-10-6--,,,,,,,,,,,,,,,,11
323,0,-花溪大道北段东楼9号2-3-8-23--,,,,,,9号,,,,,,,,,花溪大道北段,2
324,0,-花果园C区5栋1310室--,,,花果园C区,,,1310室,,5栋,,,,,,,,
325,0,-嘉润路73号南岳首座小区1-1-7-3--,,,南岳首座,,,73号,,,,,,,,,嘉润路,1
326,0,-花果园X区7栋1-1708--,,,花果园X区,,,1708,,7栋,,,,,,,,1
327,0,-金阳新区长岭北路会展城A区A3组团7-26-2号--,金阳新区,,会展城A区,,,2号,,,,,,,A3组团,,长岭北路,7
328,0,-长岭北路会展城A区A4组团10-26-2号--,,,会展城A区,,,2号,,,,,,,A4组团,,长岭北路,10
329,0,-山水黔城一组团2-2-705号--,,,山水黔城,,,705号,,,,,,,一组团,,,2
330,0,-黑土坝安置小区15栋2-102号--,,,安置小区,,,102号,,15栋,,,,,,,,2
331,0,-北京东路未来方舟G1组团29栋1-11-1号--,,,未来方舟,,,1号,,29栋,,,,,G1组团,,北京东路,1
332,0,-花果园项目一期2栋1单元3901室--,,1单元,,,,3901室,,2栋,,,,,一期,,花果园,
333,0,-花果园L1区7栋2-1001--,,,,,,1001,,7栋,,,,,1区,,花果园,2
334,0,-花溪大道255号--,,,,,,,,,,,,,,,花溪大道,255号
335,0,-金阳景怡苑10-4-2-601--,,,景怡苑,,,601,,,,,,,,,,10
336,0,-向阳路29号3栋2-6--,,,,,,29号,,3栋,,,,,,,向阳路,2
337,0,-长岭北路会展城A区A3组团5-18-4号--,,,会展城A区,,,4号,,,,,,,A3组团,,长岭北路,5
338,0,-金阳云谭路二甫八组--,,,,,,,,,,,,,,八组,,
339,0,-中天世纪新城七组团A4-5号--,,,中天世纪新城,,,,,,,,,,七组团,,,5号
340,0,-市北路148号保利云山国际8-1-22-1号--,,,云山国际,,,1号,,,,,,,,,市北路,8
341,0,-半边街51号1-1-23--,,,,,,51号,,,,,,,,,半边街,1
342,0,-永乐路169-5-5-12--,,,,,,169,,,,,,,,,永乐路,5
343,0,-贵乌北路20号友谊花园6-2-101--,,,友谊花园,,,101,,,,,,,,,贵乌北路,20号
344,0,-燕山雅筑4-2-2-2--,,,燕山雅筑,,,,,,,,,,,,,4
345,0,-五里冲U区8-2-3805--,,,,,,3805,,,,,,,,,,8
346,0,-护国路尚武小区3-2-7-6--,,,尚武小区,,,,,,,,,,,,护国路,3
347,0,-二桥路172-1-1-16--,,,,,,172,,,,,,,,,二桥路,1
348,0,-花果园A北区9栋503室--,,,花果园A北区,,,503室,,9栋,,,,,,,,
349,0,-花果园项目T2区5-2-2208--,,,,,,2208,,,,,,,2区,,花果园,5
350,0,-春雷路小石城17-1-301号--,,,小石城,,,301号,,,,,,,,,春雷路,17
351,0,-登高路百花巷96-6-5-2-15--,,,,,,,,,,,,,,,百花巷,6
352,0,-陕西路120号2栋1单元--,,1单元,,,,,,2栋,,,,,,,陕西路,120号
353,0,-尖山村90号--,,,,,,,尖山村,,,,,,,,,90号
354,0,-煤矿村大吉巷兴华2号2单元4--,,2单元,,,,2号,煤矿村,,,,,,,,大吉巷,4
355,0,-花果园-C区-12栋-1-1908号--,,,,,,1908号,,12栋,,,,,C区,,花果园,1
356,0,-五里冲U区1-1-1007--,,,,,,1007,,,,,,,,,,1
357,0,-四方河路二期五组团2-3-1003--,,,,,,1003,,,,,,,二期五组团,,四方河路,2
358,0,-箭道街中段--,,,,,,,,,,,,,,,箭道街,
359,0,-未来方舟H4组团4栋1-14-1--,,,未来方舟,,,,,4栋,,,,,H4组团,,,1
360,0,-花溪大道北段798号--,,,,,,,,,,,,,,,花溪大道北段,798号
361,0,-大理石路润丰家园1-1-602号--,,,润丰家园,,,602号,,,,,,,,,大理石路,1
362,0,-小河黄河南路8-1-25--,,,,,,,,,,,,,,,黄河南路,8
363,0,-花果园W区1栋1-1205--,,,花果园W区,,,1205,,1栋,,,,,,,,1
364,0,-青山小区44-10-4号--,,,青山小区,,,4号,,,,,,,,,,44
365,0,-贵钢宿舍11-3-6-50--,,,贵钢宿舍,,,,,,,,,,,,,11
366,0,-花果园项目一期1栋2单元4501室--,,2单元,,,,4501室,,1栋,,,,,一期,,花果园,
367,0,-花溪大道北段234号3-1--,,,,,,234号,,,,,,,,,花溪大道北段,3
368,0,-申胶厂14栋1-4-7--,,,,,,,,14栋,,,,,,,,1
369,0,-甲秀北路235号7-S15-1-1-4--,,,,,,235号,,,,,,,,,甲秀北路,15
370,0,-花果园M区7栋1单元3305--,,1单元,花果园M区,,,,,7栋,,,,,,,,3305
371,0,-中坝路保障房C6-5-2--,,,,,,,,,,,,,,,中坝路,5
372,0,-珠江路208-珠江湾畔X27-1号--,,,珠江湾畔,,,1号,,,,,,,,,珠江路,208
373,0,-金阳长岭南路25号2期2-3-20-2号--,,,,,,2号,,,,,,,2期,,长岭南路,2
374,0,-三桥北路--,,,,,,,,,,,,,,,三桥北路,
375,0,-金阳南路11号万科悦城8栋1702--,,,万科悦城,,,1702,,8栋,,,,,,,金阳南路,11号
376,0,-花果园一期20栋1单元1401--,,1单元,,,,,,20栋,,,,,一期,,花果园,1401
377,0,-东山达兴小区9栋2单元4-1--,,2单元,,,,,,9栋,,,,,,,,4
378,0,-二桥路172-2-19--,,,,,,172,,,,,,,,,二桥路,2
379,0,-花果园X区1栋2-3904--,,,花果园X区,,,3904,,1栋,,,,,,,,2
380,0,-溪山御景13-2-1-2--,,,溪山御景,,,,,,,,,,,,,13
381,0,-山水黔城一组团4栋-1-904号--,,,山水黔城,,,904号,,4栋,,,,,一组团,,,1
382,0,-花果园项目Q区8栋-3-2203--,,,,,,2203,,8栋,,,,,,,花果园,3
383,0,-水东路红岩村4-1-27-4--,,,,,,,红岩村,,,,,,,,水东路,1
384,0,-松涛苑11栋2单元2-6-12--,,2单元,松涛苑,,,,,11栋,,,,,,,,2
385,0,-珠江路德盛园小区C1-2-801--,,,德盛园,,,801,,,,,,,,,珠江路,2
386,0,-五里冲R1区3栋3-4202--,,,,,,4202,,3栋,,,,,1区,,,3
387,0,-金阳新区西南路碧波苑10-1-4-1--,金阳新区,,碧波苑,,,,,,,,,,,,,10
388,0,-庙冲路9号14栋4-4-1号--,,,,,,1号,,14栋,,,,,,,庙冲路,9号
389,0,-黄岭路-天海青城-81栋2-1-2--,,,天海青城,,,,,81栋,,,,,,,黄岭路,2
390,0,-宝山南路146号3-6-9--,,,,,,146号,,,,,,,,,宝山南路,3
391,0,-花果园W区-7栋-1-2009--,,,花果园W区,,,2009,,7栋,,,,,,,,1
392,0,-清水江路西工厂宿舍301-2-5--,,,西工厂宿舍,,,301,,,,,,,,,清水江路,2
393,0,-中天花园三期B区B1-4-B6栋1层19号--,,,中天花园,,,19号,,B6栋,,1层,,,三期,,,4
394,0,-花溪大道北段560号A-4-6-2--,,,,,,560号,,,,,,,,,花溪大道北段,4
395,0,-国际城H4组团2号楼3105--,,,国际城,,,,,2号楼,,,,,H4组团,,,3105
396,0,-天骄豪园-4单元门面--,,4单元,天骄豪园,,,,,,,,,,,,,
397,0,-黄山冲小区1-2-7-20--,,,黄山冲小区,,,,,,,,,,,,,1
398,0,-13栋3-301--,,,,,,301,,13栋,,,,,,,,3
399,0,-长岭北路会展城A区A7组团4-16-6号--,,,会展城A区,,,6号,,,,,,,A7组团,,长岭北路,4
400,0,-贵阳市新华路70号6-1-5--,,,,贵阳市,,70号,,,,,,,,,新华路,6
401,0,-长岭北路金融二期A3组团5-10-1--,,,,,,,,,,,,,二期,,长岭北路,5
402,0,-花果园一期11栋2-3205号--,,,,,,3205号,,11栋,,,,,一期,,花果园,2
403,0,-金顶山14栋2单元4-10--,,2单元,,,,,,14栋,,,,,,,,4
404,0,-保利溪湖28-2-8-1--,,,,,,,,,,,,,,,,28
405,0,-金阳上寨村拆迁安置房E4-1-2-2号--,,,,,,2号,上寨村,,,,,,,,,1
406,0,-红岩路水岸金都-12-1-6-3号--,,,水岸金都,,,3号,,,,,,,,,红岩路,12
407,0,-花果园项目V区14-2-409--,,,,,,409,,,,,,,,,花果园,14
408,0,-花果园W区-2栋-2-3906--,,,花果园W区,,,3906,,2栋,,,,,,,,2
409,0,-清水江路西工厂宿舍322-1-6--,,,西工厂宿舍,,,322,,,,,,,,,清水江路,1
410,0,-赖头冲安置房B区2号楼3M-403--,,,,,,,,2号楼,,,,,B区,,,403
411,0,-沙冲南路209号6-1-4--,,,,,,209号,,,,,,,,,沙冲南路,6
412,0,-延安西路289号4-5-4--,,,,,,289号,,,,,,,,,延安西路,4
413,0,-兴关北巷14号2栋2-4-8--,,,,,,14号,,2栋,,,,,,,兴关北巷,2
414,0,-八鸽岩路119号8-3--,,,,,,119号,,,,,,,,,八鸽岩路,8
415,0,-东山路30号2-4-1号--,,,,,,1号,,,,,,,,,东山路,30号
416,0,-花果园L1区2栋-3-1704--,,,,,,1704,,2栋,,,,,1区,,花果园,3
417,0,-营盘路49号5-48--,,,,,,49号,,,,,,,,,营盘路,5
418,0,-金阳上寨村拆迁安置房E2-7-4-2号--,,,,,,2号,上寨村,,,,,,,,,7
419,0,-中天世纪新城11组团A8-1-4-1号--,,,中天世纪新城,,,1号,,,,,,,11组团,,,1
420,0,-花果园T1区2栋1单元605--,,1单元,,,,,,2栋,,,,,1区,,花果园,605
421,0,-宝山南路564号4-1-12--,,,,,,564号,,,,,,,,,宝山南路,4
422,0,-花果园-C区-12栋-1-3905号--,,,,,,3905号,,12栋,,,,,C区,,花果园,1
423,0,-上河城7号楼3单元607室--,,3单元,上河城,,,607室,,7号楼,,,,,,,,
424,0,-登高路百花巷11-2-5-10--,,,,,,,,,,,,,,,百花巷,11
425,0,-保利一期别墅T13-5---,,,,,,,,,,,,,一期,,,13
426,0,-花果园W区13栋3-506--,,,花果园W区,,,506,,13栋,,,,,,,,3
427,0,-花果园M区-14栋-2-4306--,,,花果园M区,,,4306,,14栋,,,,,,,,2
428,0,-南明区纺织巷42-1-2-4---,南明区,,,,,,,,,,,,,,纺织巷,1
429,0,-云岩区协合巷32号-4--,云岩区,,,,,32号,,,,,,,,,协合巷,4
430,0,-黔灵山路146号观山小区3-12-1--,,,观山小区,,,146号,,,,,,,,,黔灵山路,3
431,0,-南明食品工业园G3栋1-13-4--,,,,,,,,G3栋,,,,,,,,1
432,0,-观山湖区甲秀北路235号7-A13-1-8-3--,观山湖区,,,,,235号,,,,,,,,,甲秀北路,13
433,0,-中渝第一城D1地块D8-6-2--,,,中渝第一城,,,,,,,,,,,,,6
434,0,-未来方舟G6组团2栋-1-24-1--,,,未来方舟,,,,,2栋,,,,,G6组团,,,1
435,0,-阁老巷2号C-4-5-1--,,,,,,2号,,,,,,,,,阁老巷,4
436,0,-林木巷11-1-3号--,,,,,,3号,,,,,,,,,林木巷,11
437,0,-小河区黄河路45号1-5--,小河区,,,,,45号,,,,,,,,,黄河路,1
438,0,-中坝路保障房C9-7-7--,,,,,,,,,,,,,,,中坝路,7
439,0,-山水黔城一组团7栋-1-903号--,,,山水黔城,,,903号,,7栋,,,,,一组团,,,1
440,0,-华阳家属区39-2-2--,,,,,,,,,,,,,,,,39
441,0,-沙冲路87号悠然居12-1-5-3--,,,悠然居,,,87号,,,,,,,,,沙冲路,12
442,0,--碧水云天-天韵阁2-4-2-3--,,,碧水云天,,,,,,,,,,天韵阁,,,2
443,0,-东新区路23-53号28-3-6-2--,,,,,,53号,,,,,,,,,东新区路,28
444,0,-三七厂生活区622栋1单元1室--,,1单元,,,,1室,,,,,,,,,,622
445,0,-老北门12-1-4--,,,,,,,,,,,,,,,,12
446,0,-花果园M区-9栋-1-2905--,,,花果园M区,,,2905,,9栋,,,,,,,,1
447,0,-花果园A南区4栋2702室--,,,花果园A南区,,,2702室,,4栋,,,,,,,,
448,0,-花果园J区6栋3-3606--,,,花果园J区,,,3606,,6栋,,,,,,,,3
449,0,-蛮坡宅吉路88号C-2-1-2--,,,,,,88号,,,,,,,,,宅吉路,2
450,0,-美的林城时代A42-2-23-3--,,,,,,,,,,,,,,,,42
451,0,-金竹镇鑫中路106号门面--,,,,,,,,,,,,金竹镇,,,鑫中路,106号
452,0,-花溪大道南段2708号贵大38栋2单元242室--,,2单元,,,,242室,,38栋,,,,,,,花溪大道南段,2708号
453,0,-桐木林回迁房50栋1单元1-1--,,1单元,,,,,,50栋,,,,,,,,1
454,0,-花果园项目S区3-2-3409--,,,,,,3409,,,,,,,,,花果园,3
455,0,-野鸭乡金鸭村A3栋4-2-2--,,,,,,,金鸭村,A3栋,,,,,,,,4
456,0,-花果园E区4-908--,,,花果园E区,,,908,,,,,,,,,,4
457,0,-花果园项目T2区2-1-4501--,,,,,,4501,,,,,,,2区,,花果园,2
458,0,-中天花园叠翠谷12-15栋负2层7号--,,,中天花园,,,7号,,15栋,,2层,,,,,,12
459,0,-中天花园叠翠谷A5栋4-5-1号--,,,中天花园,,,1号,,A5栋,,,,,,,,4
460,0,-花果园K区2栋1-4503--,,,花果园K区,,,4503,,2栋,,,,,,,,1
461,0,-花果园项目一期1栋3单元1307室--,,3单元,,,,1307室,,1栋,,,,,一期,,花果园,
462,0,-水东路红岩村11-1-20-6--,,,,,,,红岩村,,,,,,,,水东路,1
463,0,-天骄豪园11单元502--,,11单元,天骄豪园,,,,,,,,,,,,,502
464,0,-南明食品工业园G3栋1-13-9--,,,,,,,,G3栋,,,,,,,,1
465,0,-中曹司水厂后面--,,,,,,,,,,,,,,,,
466,0,-经开区黔江路6-1-703号--,,,,,,703号,,,,,,,,,黔江路,6
467,0,-沙冲路145号1栋2-102--,,,,,,102,,1栋,,,,,,,沙冲路,145号
468,0,-瑞金中路51号1-1-2-4--,,,,,,51号,,,,,,,,,瑞金中路,1
469,0,-五里冲U区5-2-1704--,,,,,,1704,,,,,,,,,,5
470,0,-花果园C区12栋2-3402号--,,,花果园C区,,,3402号,,12栋,,,,,,,,2
471,0,-12组团金麦花园1-3-3-2--,,,金麦花园,,,,,,,,,,12组团,,,1
472,0,-世纪新城四组团A2-1-24-4号--,,,新城,,,4号,,,,,,,四组团,,,1
473,0,-航天新村逸悠园D栋104--,,,,,,,新村,D栋,,,,,,,,104
474,0,-花果园W区5栋1单元3805--,,1单元,花果园W区,,,,,5栋,,,,,,,,3805
475,0,-观府壹号一组团44栋1-25-4--,,,观府壹号,,,,,44栋,,,,,一组团,,,1
476,0,-花果园L1区4栋2-905--,,,,,,905,,4栋,,,,,1区,,花果园,2
477,0,-中天花园御景湾C1-3-201号--,,,中天花园,,,201号,,,,,,,御景湾,,,3
478,0,-花果园J区8栋1-1306--,,,花果园J区,,,1306,,8栋,,,,,,,,1
479,0,-中渝第一城D1地块D7-6-3--,,,中渝第一城,,,,,,,,,,,,,6
480,0,-金阳新区长岭北路会展城A区A1组团2-29-2号--,金阳新区,,会展城A区,,,2号,,,,,,,A1组团,,长岭北路,2
481,0,-观山湖区金朱东路399号13-2-3-4号--,观山湖区,,,,,4号,,,,,,,,,金朱东路,13
482,0,-金顶山33栋5-17--,,,,,,,,33栋,,,,,,,,5
483,0,-花果园J区4栋1-3007--,,,花果园J区,,,3007,,4栋,,,,,,,,1
484,0,-中会北路216号--,,,,,,,,,,,,,,,,216号
485,0,-华宫巷16号4-1-1--,,,,,,16号,,,,,,,,,华宫巷,4
486,0,-阳关小区20-1-1-2--,,,阳关小区,,,,,,,,,,,,,20
487,0,-沙冲路87号悠然居13-1-3-1--,,,悠然居,,,87号,,,,,,,,,沙冲路,13
488,0,-五柳小区C栋2-5-10--,,,五柳小区,,,,,C栋,,,,,,,,2
489,0,-三桥新街康馨园1-3-2--,,,康馨园,,,,,,,,,,,,,1
490,0,-小河龙湾国际5-2-20-1--,,,龙湾国际,,,,,,,,,,,,,5
491,0,-市北路148号11-1-33-4号--,,,,,,4号,,,,,,,,,市北路,11
492,0,-诚信南路-阳光香榭-5栋1-2-1--,,,阳光香榭,,,,,5栋,,,,,,,诚信南路,1
493,0,-黄山冲组团3栋1-7-2--,,,黄山冲,,,,,3栋,,,,,,,,1
494,0,-花果园W区1栋1-1307--,,,花果园W区,,,1307,,1栋,,,,,,,,1
495,0,-南明区新寨路42号E-2-4-1--,南明区,,,,,42号,,,,,,,,,新寨路,2
496,0,-青年路6号贵钢34栋3-5-38号--,,,,,,38号,,34栋,,,,,,,青年路,6号
497,0,-小河盘江路2栋1-8-1号--,,,,,,1号,,2栋,,,,,,,盘江路,1
498,0,-花果园M区9栋3-2508--,,,花果园M区,,,2508,,9栋,,,,,,,,3
499,0,-未来方舟E1组团10栋1-23-1--,,,未来方舟,,,,,10栋,,,,,E1组团,,,1
500,0,-大理石路润丰家园3栋1-303号--,,,润丰家园,,,303号,,3栋,,,,,,,大理石路,1
501,0,-青山小区5栋1单元2-5--,,1单元,青山小区,,,,,5栋,,,,,,,,2
502,0,-贵乌北路187号中大国际广场A3-41-1号--,,,中大国际广场,,,1号,,,,,,,,,贵乌北路,187号
503,0,-白云大道201号32栋2--,,,,,,201号,,32栋,,,,,,,白云大道,2
